chrom_name	window_start	window_end	random_walk	window_weights	max_graph	o_max_graph
chr22	0	5000000	nan	1.0	nan	nan
chr22	2500000	7500000	nan	1.0	nan	nan
chr22	5000000	10000000	nan	1.0	nan	nan
chr22	7500000	12500000	0.0	1.0	nan	nan
chr22	10000000	15000000	0.0	1.0	nan	nan
chr22	12500000	17500000	nan	1.0	nan	nan
chr22	15000000	20000000	0.8084861969998582	1.0	nan	nan
chr22	17500000	22500000	0.7023080606538172	1.0	nan	nan
chr22	20000000	25000000	0.4680814900278287	1.0	nan	nan
chr22	22500000	27500000	0.3643932525547642	1.0	nan	nan
chr22	25000000	30000000	0.4550443969407855	1.0	nan	nan
chr22	27500000	32500000	0.5547734297228442	1.0	nan	nan
chr22	30000000	35000000	0.4810575845934034	1.0	nan	nan
chr22	32500000	37500000	0.5210731423155915	1.0	nan	nan
chr22	35000000	40000000	0.5796759305281673	1.0	nan	nan
chr22	37500000	42500000	0.5173966740042163	1.0	nan	nan
chr22	40000000	45000000	0.565937239748959	1.0	nan	nan
chr22	42500000	47500000	0.399624235269887	1.0	nan	nan
chr22	45000000	50000000	0.3664160031918369	1.0	nan	nan
chr22	45818468	50818468	0.3715748712172819	1.0	nan	nan
